1629135701.000000, 1629135701.000000, 1629135701.000000
32.000000, 32.000000, 32.000000
50,14,-50
42,16,-56
44,18,-57
44,21,-57
40,28,-54
34,29,-53
33,30,-45
32,32,-37
30,32,-34
27,34,-34
26,35,-31
24,35,-27
25,34,-22
27,35,-21
32,38,-26
32,38,-31
37,43,-45
35,37,-28
40,37,-31
38,42,-45
36,40,-41
35,38,-38
33,38,-39
32,37,-38
32,36,-36
32,35,-36
35,37,-39
43,37,-39
49,38,-42
54,44,-47
53,44,-45
54,49,-32
55,50,-21
54,53,-15
39,48,-6
33,44,-1
24,41,8
20,34,19
22,34,24
21,32,30
22,33,31
31,39,22
33,43,21
35,43,20
37,46,19
37,46,20
39,50,18
41,52,17
40,51,20
38,45,27
39,44,26
26,40,24
32,36,17
25,33,16
8,24,24
11,24,24
35,28,13
40,33,0
49,33,-1
60,27,2
64,21,3
72,16,-10
88,17,-21
88,11,-17
76,11,-10
78,10,-11
79,9,-2
71,8,0
68,7,-2
63,6,-5
58,5,-3
53,5,-10
62,6,-10
59,6,-10
60,6,-8
60,5,-7
60,6,-3
61,5,-6
64,4,-5
61,6,-8
59,5,-8
60,5,-7
62,5,-6
63,5,-6
62,6,-7
62,6,-6
59,6,-7
59,7,-7
58,6,-9
61,7,-9
62,8,-8
63,8,-9
60,8,-9
61,7,-10
60,7,-9
60,7,-7
60,6,-7
60,6,-7
60,6,-7
59,7,-7
59,7,-8
60,7,-7
60,8,-7
60,8,-7
61,8,-7
61,7,-7
61,8,-7
60,8,-7
60,8,-8
60,8,-7
60,8,-7
61,7,-7
60,8,-7
61,8,-7
60,7,-8
60,8,-7
60,8,-8
60,8,-8
61,8,-8
60,8,-8
61,8,-8
61,7,-8
60,7,-8
60,8,-8
60,8,-7
61,8,-8
61,7,-8
61,7,-8
60,7,-8
60,7,-8
60,7,-8
60,7,-8
60,7,-8
61,7,-8
61,7,-8
61,7,-8
60,7,-8
60,7,-8
60,7,-9
60,7,-9
61,7,-9
60,7,-9
60,7,-9
60,7,-9
60,7,-9
60,7,-8
60,7,-8
60,7,-9
61,7,-9
61,7,-9
60,6,-9
60,6,-9
60,7,-8
60,6,-8
61,6,-9
61,6,-9
60,6,-9
61,6,-9
60,7,-9
60,6,-9
60,7,-9
61,6,-9
60,6,-9
60,6,-9
61,6,-9
60,7,-9
60,7,-8
61,6,-9
61,7,-9
61,7,-9
61,6,-9
60,7,-9
60,7,-8
60,7,-8
60,7,-8
60,7,-9
61,7,-9
60,7,-9
60,7,-8
60,7,-8
60,6,-8
60,6,-8
60,7,-8
61,7,-8
60,7,-8
60,6,-8
60,6,-9
60,7,-8
60,6,-8
61,6,-8
60,6,-8
61,6,-8
60,6,-8
60,6,-8
60,7,-8
61,7,-8
61,6,-8
60,6,-8
61,6,-8
60,6,-8
60,7,-8
60,6,-8
60,7,-8
60,7,-8
61,7,-8
61,6,-8
61,7,-8
60,6,-8
60,6,-8
60,6,-8
61,6,-8
61,6,-9
61,7,-9
60,6,-8
60,6,-9
60,6,-9
60,6,-8
60,6,-9
61,6,-9
60,6,-9
61,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
61,6,-9
60,6,-10
61,6,-9
61,6,-9
60,6,-9
60,6,-9
60,6,-9
61,6,-10
61,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
61,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
61,6,-9
61,6,-9
61,6,-9
60,6,-9
59,6,-9
60,6,-9
61,7,-9
61,6,-9
61,6,-9
61,6,-9
60,7,-9
60,6,-9
60,6,-9
60,7,-9
61,6,-9
61,6,-9
60,7,-9
60,7,-8
60,7,-8
60,6,-8
60,7,-9
60,6,-9
60,6,-9
61,6,-9
60,6,-9
61,6,-9
60,6,-9
60,6,-8
61,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
60,6,-9
61,6,-9
61,6,-9
60,6,-9
60,6,-9
61,6,-8
60,6,-8
60,6,-8
60,6,-8
60,6,-8
60,6,-8
60,6,-8
60,6,-8
60,6,-8
60,6,-8
61,7,-7
61,6,-7
61,6,-8
