Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-05-16T08:09:09.497;674467743461249858;-988;16;-332
2021-05-16T08:09:09.537;674467743500830990;-987;15;-328
2021-05-16T08:09:09.577;674467743540412122;-987;16;-328
2021-05-16T08:09:09.616;674467743580003751;-988;14;-325
2021-05-16T08:09:09.656;674467743619595368;-989;13;-325
2021-05-16T08:09:09.695;674467743659186985;-988;14;-328
2021-05-16T08:09:09.735;674467743698778602;-986;14;-329
2021-05-16T08:09:09.774;674467743738370219;-986;11;-332
2021-05-16T08:09:09.814;674467743777961836;-986;11;-334
2021-05-16T08:09:09.854;674467743817553453;-987;16;-331
2021-05-16T08:09:09.893;674467743857145070;-987;18;-335
2021-05-16T08:09:09.933;674467743896736687;-988;17;-338
2021-05-16T08:09:09.972;674467743936328304;-988;17;-342
2021-05-16T08:09:10.012;674467743975919921;-988;14;-343
2021-05-16T08:09:10.052;674467744015511538;-987;11;-341
2021-05-16T08:09:10.091;674467744055103155;-987;15;-339
2021-05-16T08:09:10.131;674467744094694772;-987;16;-335
2021-05-16T08:09:10.170;674467744134286389;-988;14;-333
2021-05-16T08:09:10.210;674467744173878006;-986;12;-333
2021-05-16T08:09:10.250;674467744213469623;-986;14;-335
2021-05-16T08:09:10.289;674467744253061240;-987;17;-339
2021-05-16T08:09:10.329;674467744292652857;-985;15;-343
2021-05-16T08:09:10.368;674467744332244474;-984;12;-345
2021-05-16T08:09:10.408;674467744371836091;-987;15;-340
2021-05-16T08:09:10.448;674467744411427708;-987;15;-331
2021-05-16T08:09:10.487;674467744451019325;-986;13;-332
2021-05-16T08:09:10.527;674467744490610942;-984;11;-331
2021-05-16T08:09:10.566;674467744530202559;-985;8;-327
2021-05-16T08:09:10.606;674467744569794176;-986;8;-329
2021-05-16T08:09:10.645;674467744609385793;-987;9;-333
2021-05-16T08:09:10.685;674467744648977410;-987;13;-338
2021-05-16T08:09:10.725;674467744688569027;-985;18;-339
2021-05-16T08:09:10.764;674467744728160644;-984;19;-338
2021-05-16T08:09:10.804;674467744767752261;-985;18;-339
2021-05-16T08:09:10.843;674467744807343878;-985;17;-344
2021-05-16T08:09:10.883;674467744846935495;-985;19;-349
2021-05-16T08:09:10.923;674467744886527112;-985;18;-349
2021-05-16T08:09:10.962;674467744926118729;-986;14;-345
2021-05-16T08:09:11.002;674467744965710346;-987;15;-343
2021-05-16T08:09:11.041;674467745005309265;-986;13;-339
2021-05-16T08:09:11.081;674467745044908154;-986;12;-345
2021-05-16T08:09:11.121;674467745084507043;-988;17;-344
2021-05-16T08:09:11.160;674467745124105932;-986;18;-344
2021-05-16T08:09:11.200;674467745163704821;-984;18;-349
2021-05-16T08:09:11.239;674467745203303710;-984;16;-345
2021-05-16T08:09:11.279;674467745242902599;-985;17;-348
2021-05-16T08:09:11.319;674467745282501488;-984;17;-351
2021-05-16T08:09:11.358;674467745322100377;-984;16;-352
2021-05-16T08:09:11.398;674467745361699266;-984;15;-351
2021-05-16T08:09:11.437;674467745401298155;-984;13;-353
2021-05-16T08:09:11.477;674467745440897044;-985;13;-353
2021-05-16T08:09:11.517;674467745480495933;-986;13;-353
2021-05-16T08:09:11.556;674467745520094822;-987;15;-356
2021-05-16T08:09:11.596;674467745559693711;-987;18;-355
2021-05-16T08:09:11.635;674467745599292600;-986;18;-352
2021-05-16T08:09:11.675;674467745638891489;-983;17;-348
2021-05-16T08:09:11.715;674467745678490378;-982;17;-351
2021-05-16T08:09:11.754;674467745718089267;-984;19;-359
2021-05-16T08:09:11.794;674467745757688156;-985;18;-359
2021-05-16T08:09:11.833;674467745797287045;-984;14;-353
2021-05-16T08:09:11.873;674467745836885934;-984;16;-349
2021-05-16T08:09:11.913;674467745876484823;-984;19;-352
2021-05-16T08:09:11.952;674467745916083712;-983;18;-353
2021-05-16T08:09:11.992;674467745955682601;-984;17;-352
2021-05-16T08:09:12.031;674467745995281490;-985;18;-354
2021-05-16T08:09:12.071;674467746034880379;-985;17;-356
2021-05-16T08:09:12.111;674467746074479268;-985;16;-351
2021-05-16T08:09:12.150;674467746114078157;-986;14;-345
2021-05-16T08:09:12.190;674467746153677046;-986;14;-337
2021-05-16T08:09:12.229;674467746193275935;-987;15;-328
2021-05-16T08:09:12.269;674467746232874824;-988;18;-326
2021-05-16T08:09:12.309;674467746272473713;-989;18;-322
2021-05-16T08:09:12.348;674467746312072602;-989;19;-310
2021-05-16T08:09:12.388;674467746351671491;-989;21;-300
2021-05-16T08:09:12.427;674467746391270380;-989;19;-293
2021-05-16T08:09:12.467;674467746430872447;-990;17;-286
2021-05-16T08:09:12.507;674467746470474504;-992;18;-279
2021-05-16T08:09:12.546;674467746510076561;-993;18;-275
2021-05-16T08:09:12.586;674467746549678618;-993;19;-272
2021-05-16T08:09:12.625;674467746589280675;-992;22;-264
2021-05-16T08:09:12.665;674467746628882732;-990;20;-254
2021-05-16T08:09:12.705;674467746668484789;-989;20;-254
2021-05-16T08:09:12.744;674467746708086846;-990;22;-255
2021-05-16T08:09:12.784;674467746747688903;-992;17;-252
2021-05-16T08:09:12.823;674467746787290960;-994;17;-252
2021-05-16T08:09:12.863;674467746826893017;-994;21;-251
2021-05-16T08:09:12.903;674467746866495074;-993;20;-247
